player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,home,game_id
Kaoru Mitoma,22,jpJPN,LW,28-088,82,26,0,0,10,16,3,26,3,1,33.3,2,66.7,18,158,113,4,4,1,2,0,20,9,True,Brighton_Fulham_20250816
Brajan Gruda,8,deGER,RW,21-077,8,5,0,2,1,3,1,5,0,0,,0,,3,42,40,1,0,0,1,0,3,2,True,Brighton_Fulham_20250816
Yankuba Minteh,11,gmGAM,RW,21-025,68,27,0,3,8,17,5,27,4,2,50.0,1,25.0,21,133,83,4,1,2,5,1,23,8,True,Brighton_Fulham_20250816
Ferdi Kadioglu,24,trTUR,"LW,RW",25-313,22,9,1,1,8,0,0,9,0,0,,0,,6,20,6,0,0,0,0,0,8,1,True,Brighton_Fulham_20250816
Matt O'Riley,33,dkDEN,AM,24-268,87,35,0,5,18,12,5,34,1,0,0.0,1,100.0,11,49,8,0,0,0,2,0,22,5,True,Brighton_Fulham_20250816
James Milner,20,engENG,DM,39-224,3,1,0,0,1,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,True,Brighton_Fulham_20250816
Yasin Ayari,26,seSWE,DM,21-314,90,50,3,12,30,10,1,50,1,0,0.0,1,100.0,28,136,39,0,0,0,0,0,33,0,True,Brighton_Fulham_20250816
Carlos Baleba,17,cmCMR,DM,21-225,68,31,0,10,17,5,0,31,0,0,,0,,12,40,12,0,0,0,2,0,13,0,True,Brighton_Fulham_20250816
Diego Gómez,25,pyPAR,"DM,AM",22-142,22,14,0,3,8,3,0,14,0,0,,0,,6,12,3,0,0,0,1,0,9,0,True,Brighton_Fulham_20250816
Maxim De Cuyper,29,beBEL,LB,24-237,90,46,3,15,20,11,0,46,1,0,0.0,1,100.0,26,141,69,1,1,1,0,3,32,3,True,Brighton_Fulham_20250816
