Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,home,game_id
Hugo Ekitike,22.0,fr FRA,FW,23-056,71,14,21,66.7,203,54,9,10,90.0,3,5,60.0,2,2,100.0,1,0.1,0.0,2,1,0,0,3,True,1759666718714252820
Joe Gomez,2.0,eng ENG,RB,28-084,19,10,14,71.4,162,93,5,5,100.0,5,6,83.3,0,3,0.0,0,0.0,0.0,0,1,0,0,1,True,1759666718714252820
Cody Gakpo,18.0,nl NED,LW,26-100,90,23,33,69.7,312,115,14,17,82.4,7,11,63.6,1,2,50.0,0,0.5,0.4,3,1,2,0,5,True,1759666718714252820
Mohamed Salah,11.0,eg EGY,RW,33-061,90,20,36,55.6,362,145,11,13,84.6,4,14,28.6,4,7,57.1,0,0.1,0.1,2,1,1,1,3,True,1759666718714252820
Florian Wirtz,7.0,de GER,"AM,FW",22-104,81,42,58,72.4,814,277,19,23,82.6,15,22,68.2,8,10,80.0,0,0.3,0.3,3,9,1,0,7,True,1759666718714252820
Federico Chiesa,14.0,it ITA,FW,27-294,9,3,3,100.0,32,14,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,True,1759666718714252820
Alexis Mac Allister,10.0,ar ARG,DM,26-234,71,40,47,85.1,512,157,26,30,86.7,13,13,100.0,0,0,,1,0.5,0.0,1,3,0,0,4,True,1759666718714252820
Curtis Jones,17.0,eng ENG,LM,24-197,19,9,12,75.0,180,90,4,4,100.0,4,4,100.0,1,2,50.0,0,0.1,0.0,1,1,2,0,3,True,1759666718714252820
Dominik Szoboszlai,8.0,hu HUN,"DM,RM",24-294,90,67,78,85.9,1064,260,34,35,97.1,19,21,90.5,8,11,72.7,0,0.2,0.1,2,5,1,0,3,True,1759666718714252820
Milos Kerkez,6.0,hu HUN,LB,21-281,59,33,38,86.8,601,269,17,18,94.4,13,16,81.3,3,3,100.0,0,0.0,0.0,0,2,1,0,2,True,1759666718714252820
Andrew Robertson,26.0,sct SCO,LB,31-157,31,10,14,71.4,186,86,4,6,66.7,5,7,71.4,1,1,100.0,0,0.0,0.0,0,1,1,1,0,True,1759666718714252820
Virgil van Dijk,4.0,nl NED,CB,34-038,90,63,74,85.1,1022,560,30,31,96.8,27,29,93.1,3,10,30.0,0,0.0,0.0,0,5,0,0,4,True,1759666718714252820
Ibrahima Konaté,5.0,fr FRA,CB,26-082,90,29,33,87.9,503,131,12,12,100.0,14,15,93.3,3,5,60.0,0,0.0,0.0,0,1,0,0,2,True,1759666718714252820
Jeremie Frimpong,30.0,nl NED,RB,24-248,59,14,19,73.7,181,35,7,8,87.5,5,8,62.5,0,0,,0,0.0,0.0,0,0,0,0,0,True,1759666718714252820
Wataru Endo,3.0,jp JPN,"CM,RB",32-187,31,16,17,94.1,242,77,13,14,92.9,1,1,100.0,2,2,100.0,1,0.1,0.0,1,3,0,0,1,True,1759666718714252820
Alisson,1.0,br BRA,GK,32-317,90,37,42,88.1,991,676,10,10,100.0,15,15,100.0,12,17,70.6,0,0.0,0.0,0,2,0,0,2,True,1759666718714252820
Evanilson,9.0,br BRA,FW,25-313,90,9,13,69.2,124,20,6,7,85.7,3,4,75.0,0,0,,0,0.0,0.0,0,0,0,0,1,False,1759666718714252820
David Brooks,7.0,wls WAL,LM,28-038,83,14,23,60.9,193,107,6,8,75.0,3,5,60.0,2,4,50.0,1,0.7,0.2,3,2,1,1,2,False,1759666718714252820
