player_code,fbref_name,fpl_name
233963,Konstantinos Mavropanos,Konstantinos Mavropanos
210494,Nayef Aguerd,Nayef Aguerd
536109,Oliver Scarles,Ollie Scarles
462116,Jean-Clair Todibo,Jean-Clair Todibo
214590,Aaron Wan-Bissaka,Aaron Wan-Bissaka
224024,Lucas Paquetá,Lucas Tolentino Coelho de Lima
215439,Tomáš Souček,Tomáš Souček
101178,James Ward-Prowse,James Ward-Prowse
450070,Crysencio Summerville,Crysencio Summerville
197024,Guido Rodríguez,Guido Rodríguez
577114,Luis Guilherme,Luis Guilherme Lira dos Santos
229384,Andy Irving,Andy Irving
490142,Freddie Potts,Freddie Potts
178186,Jarrod Bowen,Jarrod Bowen
91889,Niclas Füllkrug,Niclas Füllkrug
565431,Callum Marshall,Callum Marshall
158534,Kyle Walker-Peters,Kyle Walker-Peters
75115,Callum Wilson,Callum Wilson
467189,Mads Hermansen,Mads Hermansen
551226,Mateus Fernandes,Mateus Gonçalo Espanha Fernandes
564940,Soungoutou Magassa,Soungoutou Magassa
101982,Sam Johnstone,Sam Johnstone
149065,José Sá,José Malheiro de Sá
516939,Emmanuel Agbadou,Emmanuel Agbadou
87835,Matt Doherty,Matt Doherty
490721,Hugo Bueno,Hugo Bueno López
501837,Yerson Mosquera,Yerson Mosquera Valdelamar
483081,Rodrigo Gomes,Rodrigo Martins Gomes
231480,Santiago Bueno,Santiago Ignacio Bueno
510362,Toti Gomes,Toti Gomes
441271,Ki-Jana Hoever,Ki-Jana Hoever
184754,Hwang Hee-chan,Hwang Hee-chan
509291,André,André Trindade da Costa Neto
231057,Jean-Ricner Bellegarde,Jean-Ricner Bellegarde
643135,Fer López,Fer López González
448089,João Gomes,João Victor Gomes da Silva
433312,Marshall Munetsi,Marshall Munetsi
247412,Jørgen Strand Larsen,Jørgen Strand Larsen
429414,Sasa Kalajdzic,Saša Kalajdžić
230376,Jhon Arias,Jhon Arias
497949,David Møller Wolfe,David Møller Wolfe
523705,Jackson Tchatchoua,Jackson Tchatchoua
431248,Ladislav Krejčí,Ladislav Krejcí
488213,Tolu Arokodare,Tolu Arokodare
