name_match,player_code,position,first_name,last_name,fpl_cost,fpl_form,season_ppg,total_points
Malick Thiaw,465642,DEF,Malick,Thiaw,4.9,3.0,3.3,23
Nick Woltemade,470313,FWD,Nick,Woltemade,7.5,4.2,5.0,35
Oleksandr Zinchenko,206325,DEF,Oleksandr,Zinchenko,4.9,0.2,1.7,5
James Mcatee,432714,MID,James,McAtee,5.2,0.0,1.0,4
Matz Sels,85633,GK,Matz,Sels,4.8,2.2,2.1,21
Nikola Milenković,227444,DEF,Nikola,Milenković,5.2,1.5,1.5,15
Murillo,575476,DEF,Murillo,Costa dos Santos,5.3,1.2,1.7,12
Ola Aina,159506,DEF,Ola,Aina,4.7,0.0,2.0,6
Neco Williams,215136,DEF,Neco,Williams,4.7,0.8,1.8,18
Jair Cunha,575458,DEF,Jair,Paula da Cunha Filho,4.3,0.8,3.0,3
Morato,485047,DEF,Felipe,Rodrigues da Silva,4.4,0.8,1.4,7
Morgan Gibbs-White,222531,MID,Morgan,Gibbs-White,7.3,4.0,3.0,30
Callum Hudson-Odoi,209046,MID,Callum,Hudson-Odoi,5.8,1.2,2.2,22
Elliot Anderson,215379,MID,Elliot,Anderson,5.3,2.8,3.2,32
